Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;NITAP-Civil;38:FF:36:4E:DB:7A;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;NITAP-Faculty;38:FF:36:4E:DB:78;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;NITAP-2016-One;38:FF:36:CE:DB:78;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Faculty-Laptop;38:FF:36:4E:DB:72;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;Faculty-Mobile;38:FF:36:0E:DB:72;;13;No;OPN,None;No;54.0;0;9;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;NITAP-2017- E & F;38:FF:36:8E:DB:70;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;NITAP-BIO_Technology;38:FF:36:CE:DB:7A;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;GUEST-FACULTY;38:FF:36:4E:DB:7B;;13;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Tue Sep  4 16:01:11 2018;Tue Sep  4 16:01:19 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;NITAP-Electronics(ECE);38:FF:36:CE:DB:79;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;NITAP-2017- G;38:FF:36:CE:DB:70;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;NITAP-Metulargy;38:FF:36:0E:DB:79;;13;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;FACULTY;38:FF:36:CE:DB:7B;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;NITAP-Chemical;38:FF:36:8E:DB:7A;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;DIRECT-d4-HP M477 LaserJet;1A:4F:32:B7:7D:D4;;6;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Tue Sep  4 16:01:11 2018;Tue Sep  4 16:01:18 2018;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;NITAP-Computers(CSE);38:FF:36:0E:D7:AA;;7;No;OPN,None;No;54.0;0;15;0;140;0;0;140;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.5.197;
32;infrastructure;NITAP-Computers(CSE);2C:C5:D3:06:BF:EA;;1;No;OPN,None;No;54.0;0;12;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;NITAP-DC;2C:C5:D3:46:BF:E1;;1;No;OPN,None;No;54.0;0;14;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;NITAP-2017- A & B;38:FF:36:0E:D7:A0;;7;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;NITAP-Faculty;38:FF:36:4E:D7:A8;;7;No;OPN,None;No;54.0;0;14;0;17;0;0;17;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.20.10.192;
36;infrastructure;NITAP-Electronics(ECE);38:FF:36:CE:D7:A9;;7;No;OPN,None;No;54.0;0;15;0;22;0;0;22;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.5.197;
37;infrastructure;NITAP-DC;38:FF:36:4E:D7:A1;;7;No;OPN,None;No;54.0;0;18;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;NITAP-2017- E & F;38:FF:36:8E:D7:A0;;7;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;NIT;38:FF:36:CE:D7:A1;;7;No;WPA2,AES-CCM;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;NITAP-2017- C & D;38:FF:36:4E:D7:A0;;7;No;OPN,None;No;54.0;0;15;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;NITAP-2016-Two;38:FF:36:0E:D7:AB;;7;No;OPN,None;No;54.0;0;18;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;NITAP-DIRECTOR;2C:C5:D3:86:BF:E8;;1;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;NITAP-2016-One;2C:C5:D3:C6:BF:E8;;1;No;OPN,None;No;54.0;0;9;0;153;0;0;153;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:18 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.4.221;
44;infrastructure;NITAP-Mechanical;2C:C5:D3:46:BF:E9;;1;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
