Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;NIT-AP;04:BD:88:CD:C4:E0;;11;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Tue Sep  4 15:22:55 2018;Tue Sep  4 15:23:13 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;island-0F55A0;38:FF:36:4F:55:A3;;11;No;WPA2,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Tue Sep  4 15:22:55 2018;Tue Sep  4 15:23:13 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;NITAP-2017- C & D;38:FF:36:4E:DB:70;;13;No;OPN,None;No;54.0;0;14;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;NITAP-2016-One;38:FF:36:CE:DB:78;;13;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;NITAP-2017- A & B;38:FF:36:0E:DB:70;;13;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;NITAP-Computers(CSE);38:FF:36:0E:DB:7A;;13;No;OPN,None;No;54.0;0;12;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;NITAP-Chemical;38:FF:36:8E:DB:7A;;13;No;OPN,None;No;54.0;0;19;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;NITAP-Electronics(ECE);38:FF:36:CE:DB:79;;13;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;NITAP-2017- E & F;38:FF:36:8E:DB:70;;13;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;FACULTY;38:FF:36:CE:DB:7B;;13;No;OPN,None;No;54.0;0;18;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;NIT;38:FF:36:CE:DB:71;;13;No;WPA2,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;NIT ANDHRA;38:FF:36:8E:DB:71;;13;No;WPA2,AES-CCM;No;54.0;0;13;0;1;0;0;1;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;NITAP-Faculty;38:FF:36:4E:DB:78;;13;No;OPN,None;No;54.0;0;18;0;0;0;0;0;;;Tue Sep  4 15:22:53 2018;Tue Sep  4 15:23:11 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
