Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;island-0F55A0;38:FF:36:4F:55:A3;;11;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Tue Sep  4 15:33:32 2018;Tue Sep  4 15:33:35 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;NITAP-Faculty;38:FF:36:4E:DB:78;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;NITAP-Mechanical;38:FF:36:4E:DB:79;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;NIT ANDHRA;38:FF:36:8E:DB:71;;13;No;WPA2,AES-CCM;No;54.0;0;6;0;2;0;0;2;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;NITAP-Electronics(ECE);38:FF:36:CE:DB:79;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;NITAP-DC;38:FF:36:4E:DB:71;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;NITAP-Civil;38:FF:36:4E:DB:7A;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;NITAP-2017- G;38:FF:36:CE:DB:70;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;FACULTY;38:FF:36:CE:DB:7B;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;NITAP-2016-Three;38:FF:36:8E:DB:7B;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;NITAP-2016-One;38:FF:36:CE:DB:78;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:30 2018;Tue Sep  4 15:33:36 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;NITAP-DIRECTOR;38:FF:36:8E:DB:78;;13;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Faculty-Laptop;38:FF:36:4E:DB:72;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Faculty-Mobile;38:FF:36:0E:DB:72;;13;No;OPN,None;No;54.0;0;4;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:33 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;NIT;38:FF:36:CE:DB:71;;13;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;NITAP-Chemical;38:FF:36:8E:DB:7A;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;NITAP-2017- E & F;38:FF:36:8E:DB:70;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;NITAP-BIO_Technology;38:FF:36:CE:DB:7A;;13;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;NITAP-2017- C & D;38:FF:36:4E:DB:70;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;NITAP-2016-Two;38:FF:36:0E:DB:7B;;13;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;NITAP-2017- A & B;38:FF:36:0E:DB:70;;13;No;OPN,None;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;GUEST-FACULTY;38:FF:36:4E:DB:7B;;13;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;NITAP-Electrical(EEE);38:FF:36:8E:DB:79;;13;No;OPN,None;No;54.0;0;7;0;175;0;0;175;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;NITAP-Metulargy;38:FF:36:0E:DB:79;;13;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:33 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;NITAP-Computers(CSE);38:FF:36:0E:DB:7A;;13;No;OPN,None;No;54.0;0;6;0;151;0;0;151;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.0.110;
26;infrastructure;NITAP-2016-One;2C:C5:D3:C6:BF:E8;;1;No;OPN,None;No;54.0;0;9;0;1234;0;0;1234;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:37 2018;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.5.68;
27;infrastructure;NITAP-Electrical(EEE);38:FF:36:8E:D7:A9;;7;No;OPN,None;No;54.0;0;9;0;13;0;0;13;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.0.110;
28;infrastructure;NITAP-2017- E & F;38:FF:36:8E:D7:A0;;7;No;OPN,None;No;54.0;0;10;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;NITAP-2017- C & D;38:FF:36:4E:D7:A0;;7;No;OPN,None;No;54.0;0;10;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;NITAP-2017- A & B;38:FF:36:0E:D7:A0;;7;No;OPN,None;No;54.0;0;10;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;FACULTY;38:FF:36:CE:D7:AB;;7;No;OPN,None;No;54.0;0;10;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;NITAP-Faculty;38:FF:36:4E:D7:A8;;7;No;OPN,None;No;54.0;0;10;0;22;0;0;22;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.20.10.80;
33;infrastructure;Faculty-Laptop;38:FF:36:4E:D7:A2;;7;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;NITAP-Metulargy;38:FF:36:0E:D7:A9;;7;No;OPN,None;No;54.0;0;9;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;Faculty-Mobile;38:FF:36:0E:D7:A2;;7;No;OPN,None;No;54.0;0;10;0;0;0;0;0;;;Tue Sep  4 15:33:29 2018;Tue Sep  4 15:33:36 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
